Date & time,Battery Voltage (V),Coolant Temperature (°C),Engine Speed (RPM),Generator Avg Frequency (Hz)
"26 Sep 2023, 09:22:13",28.44,78.83,1495,50.03
"26 Sep 2023, 09:21:51",28.36,78.83,1501,49.95
"26 Sep 2023, 09:21:29",28.36,78.94,1499.25,50.04
"26 Sep 2023, 09:21:07",28.4,78.94,1500.38,49.89
"26 Sep 2023, 09:20:45",28.4,78.94,1500.38,50.05
"26 Sep 2023, 09:20:23",28.4,78.89,1500.38,49.93
"26 Sep 2023, 09:20:00",28.48,78.94,1498.12,50.01
"26 Sep 2023, 09:19:38",28.4,78.94,1498.75,50.04
"26 Sep 2023, 09:19:16",28.4,78.94,1498.62,50.08
"26 Sep 2023, 09:18:54",28.44,78.89,1501.25,50
"26 Sep 2023, 09:18:32",28.36,78.89,1499.25,50
"26 Sep 2023, 09:18:10",28.36,78.94,1500.38,50.04
"26 Sep 2023, 09:17:48",28.4,79.06,1501.88,50
"26 Sep 2023, 09:17:26",28.36,78.83,1496.12,50.05
